Freq,U_in,U_out,Phi,T(omega),Komentarze
Częstotliwość [Hz],"Amplituda, napięcie wejściowe [V]","Amplituda, napięcie wyjściowe",przesunięcie fazowe [degr],charakterystyka amplitudowa,Mnożnik
1000,"5,2","0,00256","120,8","0,0005",
2000,"5,2","0,00404","111,6","0,0008",
4000,"5,2","0,0688",100,"0,0132",
8000,"5,2","0,0128","94,28","0,0025",
16000,"5,2","0,0246","88,57","0,0047",
32000,"5,2","0,05",90,"0,0096",
64000,"5,2","0,113",90,"0,0217",
128000,"5,12","0,484","87,69","0,0945",
140800,"4,96","0,776","80,34","0,1565",
144000,"4,88","0,92","74,57","0,1885",
148000,"4,72","1,12","72,54","0,2373",
152000,"4,44","1,41","68,18","0,3176",
154880,"4,08","1,72","57,05","0,4216",
156000,"3,84","1,82","53,44","0,4740",
157000,"3,68","1,92","47,81","0,5217",
158000,"3,52",2,"37,14","0,5682",
159526,"3,28","2,12","24,08","0,6463",
161000,"3,12","2,18","14,52","0,6987",
162500,"3,12","2,2","8,852","0,7051",
164312,"3,28","2,14","22,5","0,6524",
166000,"3,52",2,33,"0,5682",
168000,"3,84","1,84",45,"0,4792",
169241,"4,08","1,72","49,86","0,4216",
174318,"4,6","1,36","61,68","0,2957",
179548,"4,84","1,06","68,63","0,2190",
197503,"5,08","0,64","75,71","0,1260",
335754,"5,2","0,18","85,13","0,0346",
570782,"5,24","0,072","85,91","0,0137",
970330,"5,2","0,028","89,13","0,0054",
